source,source_code,concept_id,seed_sha256
ciqual,11063,nfx_1CGPV5BC72Q2R9ZFE88833CVKT,3210eb2242e20fe61f7726784a21fe11a62dca696c1d384b38bc40382cb9cf51
ciqual,11064,nfx_03DDW2495S627DH6P1ZJ1K6VSN,065ab74d0ae90dcca668fed46cfca0c3396458ef92d459d3e9fd73d301baad35
ciqual,11065,nfx_782HA411N0E12C7939K4PZZC12,67cf1da9699830193454d8a11083bceb5b0a8d60521facd41f6607afbdd754d3
ciqual,11066,nfx_42HJCQA6T0YPFFV287HS9AYQC2,4e0216e039aa7d27eaa213ec4f551693fe55d26b7b0edb79626821911c64c516
ciqual,11068,nfx_06V7AE03ZEHW8WN4Z1HSAPT8S3,ab91653d40ee195e236a28a9c6580475b84d3e62fbae656e0463bb32a78950d1
ciqual,11069,nfx_3R0WJEG26NPQY34GSQ42W2VQ7Y,a9f6ab4e6b1f83070ec498cc6ee1e5cc9683e4e8d359f1d1378c79620f1a2d96
ciqual,11070,nfx_4JQHW8KZSS30DMN2TRDT69Q70Y,d938b3b418c46f72e96544f70e2548c697f44c4a332b8e4ca16fbf543bfd43d6
ciqual,11073,nfx_2P9GRBMBF635FAKB18QQRV12DY,b25a33c9619a6704c6dddeebc8a84e6b420c125bea56ceb3b145f3a982404d27
ciqual,11074,nfx_630XKKT8F21GJ1V03EHW9APX4G,c10a74a2fadc68097d4c387d2a08aa9a9f3979dbaf449059226cfb4728fd0134
ciqual,11075,nfx_3VGP9A2P1DMXM7HTHXTZ6Q96X6,c0d9453d47f7854fb50e59e38c4efe6c6314d8871de8edc1a83cf9d26b65ee03
ciqual,11077,nfx_70Q9XPA2WH5F7QV88K3F17BM9Q,6b5eb09ac152c2e58c629fb1816776382b6594d7017ac13f72598d579c3a495a
ciqual,11079,nfx_6BFDSWJ4X8BT738ESG79XRHC6W,dc320d6a6a99576051c166f88c214587e88e0d1f4e92f272bb2947615642a7bc
ciqual,11080,nfx_1V3C78R0CQNS6FJ23QRSEPBDAJ,a321a4c08b6cb1858e4cdbb627aef2c21b2a0f7964bec428263ee8ceafa45172
ciqual,11081,nfx_7M7JB2CWMQPVGJR4XN30C350FB,35d004832099aff1f80bc1003df877cd0c26506939a30c490dbfc9d4c9d84716
ciqual,11082,nfx_5Q9443G6RX9AK8G6JKD3C3S689,520e6265bfe9cf2ae9477ca046ab2b363d8ce98999af71d8d231f5c5182337e9
ciqual,11083,nfx_7MQMNKRA2YJVHAVMC9BRF16N33,dea6599bc1b7487cc639292f04192a093b214f83840db7f4e4b058720680808b
ciqual,11084,nfx_6JJ20WRR3SJSRGE78YA74C1PSQ,7bb5a9028578a244b3dc68a82b04cb6fd08632cc2af8674e4ff3660c42b00b67
ciqual,11085,nfx_76XW0ZARR8VWESHXF6KRX13PGT,a997537585c1d155299671e1666a56ba6427c5130c2b554dfa23c3c9c93551a0
ciqual,11086,nfx_34WXN6AK9EX06KD3TGVW3G2437,999eaa8e621ef2b0438f5a2358e388e58c4643376e755be25a6f70a8a416217b
ciqual,11088,nfx_57DJNFFSVNGWG7X66FW5931MF0,3d4a4c63698ea56d53fa1d3b09fc474de0c95e6789c525dafc7c85c1784a18a5
ciqual,11089,nfx_17SAA1CCD79A69MVFVZNGXRP5A,10912c028450d4db1e049f0b00ab7430b6b860537b570270fb0214eb1b39a4ce
ciqual,11090,nfx_4347BM4Q7T5CARDKQ1HEDTZYGT,34f1f3e6f6409ba917aaf918472132bd7778c0b3fd23c2f75834dc496456bbd1
ciqual,11091,nfx_1W2KA99TGQ23DAC52XF2D5YPR3,30e3ed0f87877b944c27223171534b787b8464706950c829d5b97fe2a357022f
ciqual,11092,nfx_7QZ78RX9JQ247BFVA93EJ3194J,9f49cb7a7ee296c4267e6dd1183274d703a134410bfe2e2b89fb310242a2f9e4
