# Fatores de retencao (SPEC §10, ADR-0007/0018). Fonte: USDA Table of
# Nutrient Retention Factors Release 6 (2007), CC0 1.0,
# DOI 10.15482/USDA.ADC/1409034. Fonte primaria: retn06.txt (ASCII caret-delimited),
# SHA-256 5B71867F6649E801DB3BF88C6CD1887B0673E853D4BA94AA0AF2B3C091E983F9.
# Gerado por scripts/build_retention_factors.py — nao editar a mao.
# Politica: mediana por (nutriente, metodo); espaco min-max na evidencia;
# referencia integral em usda_r6_reference.csv.
nutrient,cooking_method,retention_factor,evidence
LYCPN,stewed,0.75,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 2 rows; min 75% max 75%
MG,baked,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 23 rows; min 65% max 100%
MG,boiled,0.95,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 70% max 100%
MG,braised,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 5 rows; min 65% max 100%
MG,broiled,0.95,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 20 rows; min 75% max 100%
MG,canned,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 100% max 100%
MG,cooked,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 70% max 100%
MG,fried,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 36 rows; min 70% max 100%
MG,poached,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 1 rows; min 100% max 100%
MG,reheated,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 100% max 100%
MG,roasted,0.8,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 8 rows; min 75% max 100%
MG,simmered,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 60 rows; min 60% max 100%
MG,steamed,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 100% max 100%
MG,stewed,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 2 rows; min 100% max 100%
NA,baked,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 23 rows; min 55% max 100%
NA,boiled,0.95,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 50% max 100%
NA,braised,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 5 rows; min 55% max 100%
NA,broiled,0.925,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 20 rows; min 75% max 100%
NA,canned,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 100% max 100%
NA,cooked,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 75% max 100%
NA,fried,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 36 rows; min 60% max 100%
NA,poached,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 1 rows; min 100% max 100%
NA,reheated,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 100% max 100%
NA,roasted,0.8,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 8 rows; min 75% max 95%
NA,simmered,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 60 rows; min 45% max 100%
NA,steamed,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 100% max 100%
NA,stewed,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 2 rows; min 100% max 100%
NIA,baked,0.95,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 23 rows; min 55% max 100%
NIA,boiled,0.875,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 55% max 95%
NIA,braised,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 5 rows; min 55% max 95%
NIA,broiled,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 20 rows; min 75% max 100%
NIA,canned,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 90% max 100%
NIA,cooked,0.95,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 50% max 100%
NIA,fried,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 36 rows; min 50% max 100%
NIA,poached,0.85,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 1 rows; min 85% max 85%
NIA,reheated,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 95% max 100%
NIA,roasted,0.825,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 8 rows; min 75% max 95%
NIA,simmered,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 60 rows; min 45% max 100%
NIA,steamed,0.925,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 90% max 95%
